stock,date,score1,score2
'600000,2024-01-26,74.8583,75.33034
'600004,2024-01-26,21.738413,21.874258
'600006,2024-01-26,14.635954,15.320177
'600007,2024-01-26,24.106312,24.57537
'600008,2024-01-26,23.841587,23.866364
'600009,2024-01-26,87.98827,89.102066
'600010,2024-01-26,11.176553,11.311629
'600011,2024-01-26,24.692652,25.106792
'600012,2024-01-26,19.255426,19.438042
'600015,2024-01-26,21.124083,21.252663
'600016,2024-01-26,91.07572,91.57359
'600017,2024-01-26,9.490686,9.578287
'600018,2024-01-26,20.270107,20.470455
'600019,2024-01-26,14.4656515,14.567918
'600020,2024-01-26,14.493686,14.541
'600021,2024-01-26,12.946071,13.121929
'600022,2024-01-26,7.2344875,7.2587647
'600023,2024-01-26,8.339108,8.464956
'600025,2024-01-26,9.684789,9.746728
'600026,2024-01-26,15.439197,15.80088
'600027,2024-01-26,7.4295626,7.5726614
'600028,2024-01-26,13.113679,13.206908
'600029,2024-01-26,9.637642,9.659121
'600030,2024-01-26,80.69665,81.966606
'600031,2024-01-26,621.8974,623.38715
'600033,2024-01-26,18.091658,18.171425
'600036,2024-01-26,144.62244,147.94537
'600037,2024-01-26,34.648224,35.443626
'600038,2024-01-26,110.245,110.28624
'600039,2024-01-26,86.165405,86.74657
'600048,2024-01-26,224.34439,226.33029
'600050,2024-01-26,5.912458,6.0380516
'600051,2024-01-26,26.184435,26.312063
'600052,2024-01-26,14.121957,14.916271
'600053,2024-01-26,33.084984,38.325096
'600054,2024-01-26,37.014854,36.99089
'600055,2024-01-26,194.98116,197.55737
'600056,2024-01-26,144.93967,147.73975
'600057,2024-01-26,60.07848,60.730595
'600058,2024-01-26,27.270077,28.199537
'600059,2024-01-26,73.35927,73.35725
'600060,2024-01-26,141.92183,146.71881
'600061,2024-01-26,42.61644,43.08293
'600062,2024-01-26,137.55217,140.10228
'600063,2024-01-26,44.507957,44.980804
'600064,2024-01-26,112.238045,113.1091
'600066,2024-01-26,631.9654,639.16144
'600067,2024-01-26,62.642334,62.616493
'600070,2024-01-26,33.83262,34.38451
'600071,2024-01-26,98.230354,100.92626
'600072,2024-01-26,61.0121,63.407684
'600073,2024-01-26,17.22311,17.302645
'600075,2024-01-26,48.409164,49.057476
'600076,2024-01-26,5.2109237,5.417415
'600078,2024-01-26,60.883297,60.57834
'600079,2024-01-26,429.4523,438.6467
'600080,2024-01-26,52.394333,53.67
'600081,2024-01-26,79.63919,81.37037
'600082,2024-01-26,17.112705,17.315273
'600083,2024-01-26,7.1742845,7.9564896
'600084,2024-01-26,42.927742,43.70072
'600085,2024-01-26,512.3558,517.23145
'600088,2024-01-26,37.52029,41.06841
'600089,2024-01-26,980.656,987.1944
'600094,2024-01-26,7.242949,7.434322
'600095,2024-01-26,25.69155,26.587488
'600096,2024-01-26,29.308914,29.519882
'600097,2024-01-26,12.32143,12.345299
'600098,2024-01-26,24.506893,24.569567
'600099,2024-01-26,20.911928,22.027166
'600100,2024-01-26,105.2466,110.33142
'600101,2024-01-26,68.55661,69.594215
'600103,2024-01-26,12.846765,12.980702
'600104,2024-01-26,111.072464,111.71709
'600105,2024-01-26,48.42184,49.770386
'600106,2024-01-26,30.583294,32.10317
'600107,2024-01-26,11.589125,11.499923
'600108,2024-01-26,30.890383,31.216661
'600109,2024-01-26,75.03651,76.69513
'600110,2024-01-26,69.220535,68.64406
'600111,2024-01-26,327.4294,326.92148
'600112,2024-01-26,7.6285634,8.066891
'600113,2024-01-26,27.793936,28.10785
'600114,2024-01-26,58.051224,59.879803
'600115,2024-01-26,4.07969,4.113503
'600116,2024-01-26,45.436413,45.76299
'600117,2024-01-26,5.9045186,5.9118495
'600118,2024-01-26,469.22,478.5902
'600119,2024-01-26,14.9142275,15.923799
'600121,2024-01-26,14.391996,15.25933
'600123,2024-01-26,92.957146,93.694885
'600125,2024-01-26,98.81325,99.68921
'600126,2024-01-26,20.494781,20.783815
'600127,2024-01-26,27.891094,28.007915
'600128,2024-01-26,19.922897,20.662437
'600129,2024-01-26,107.43555,113.08404
'600130,2024-01-26,19.465683,19.775002
'600131,2024-01-26,65.92325,67.74525
'600132,2024-01-26,339.6198,335.04593
'600133,2024-01-26,33.98727,36.741318
'600135,2024-01-26,17.5508,17.74757
'600136,2024-01-26,2.5965924,2.7264752
'600137,2024-01-26,22.225384,22.645935
'600138,2024-01-26,41.781914,41.80454
'600141,2024-01-26,43.01134,43.239426
'600143,2024-01-26,149.54878,151.23251
'600148,2024-01-26,33.42651,35.164856
'600149,2024-01-26,15.909473,15.878609
'600150,2024-01-26,71.3182,71.83284
'600151,2024-01-26,20.706926,20.982744
'600152,2024-01-26,15.77324,15.7405205
'600153,2024-01-26,141.10336,141.88686
'600155,2024-01-26,16.678326,17.3622
'600156,2024-01-26,5.191728,5.822308
'600157,2024-01-26,61.914097,61.986977
'600158,2024-01-26,40.963562,42.58127
'600159,2024-01-26,14.159537,14.822384
'600160,2024-01-26,137.80339,140.77565
'600161,2024-01-26,316.9381,328.21713
'600162,2024-01-26,17.12944,17.112646
'600163,2024-01-26,6.6974196,6.8066025
'600165,2024-01-26,15.022393,15.231601
'600166,2024-01-26,83.6854,85.36116
'600167,2024-01-26,24.094126,24.288486
'600168,2024-01-26,10.675286,10.744724
'600170,2024-01-26,32.30578,32.7573
'600171,2024-01-26,30.90585,31.726688
'600172,2024-01-26,23.324032,23.772034
'600173,2024-01-26,11.773206,11.838806
'600176,2024-01-26,155.36845,156.26494
