,公司代码 ,Name,code,上市日期
0,1,平安银行,'000001,1991/4/3
1,300001,特锐德,'300001,2009/10/30
2,300257,开山股份,'300257,2011/8/19
3,862,银星能源,'000862,1998/9/15
4,300603,立昂技术,'300603,2017/1/26
5,603612,  索通发展,'603612,  2017-07-18
6,2028,思源电气,'002028,2004/8/5
7,2691,冀凯股份,'002691,2012/7/31
8,600219,  南山铝业,'600219,  1999-12-23
9,300175,朗源股份,'300175,2011/2/15
10,2767,先锋电子,'002767,2015/6/12
11,2605,姚记科技,'002605,2011/8/5
12,601789,  宁波建工,'601789,  2011-08-16
13,2160,常铝股份,'002160,2007/8/21
14,603045,  福达合金,'603045,  2018-05-17
15,825,太钢不锈,'000825,1998/10/21
16,300152,科融环境,'300152,2010/12/29
17,603536,  惠发食品,'603536,  2017-06-13
18,2366,台海核电,'002366,2010/3/12
19,600120,  浙江东方,'600120,  1997-12-01
20,528,柳    工,'000528,1993/11/18
21,600035,  楚天高速,'600035,  2004-03-10
22,300030,阳普医疗,'300030,2009/12/25
23,2064,华峰氨纶,'002064,2006/8/23
24,300494,盛天网络,'300494,2015/12/31
25,300208,青岛中程,'300208,2011/4/26
26,603528,  多伦科技,'603528,  2016-05-03
27,2017,东信和平,'002017,2004/7/13
28,600236,  桂冠电力,'600236,  2000-03-23
29,600882,  妙可蓝多,'600882,  1995-12-06
30,2824,和胜股份,'002824,2017/1/12
31,300077,国民技术,'300077,2010/4/30
32,2462,嘉事堂,'002462,2010/8/18
33,2430,杭氧股份,'002430,2010/6/10
34,600771,  广誉远,'600771,  1996-11-05
35,2668,奥马电器,'002668,2012/4/16
36,603660,  苏州科达,'603660,  2016-12-01
37,600365,  通葡股份,'600365,  2001-01-15
38,300507,苏奥传感,'300507,2016/4/29
39,2518,科士达,'002518,2010/12/7
40,2554,惠博普,'002554,2011/2/25
41,600775,  南京熊猫,'600775,  1996-11-18
42,603730,  岱美股份,'603730,  2017-07-28
43,600783,  鲁信创投,'600783,  1996-12-25
44,300194,福安药业,'300194,2011/3/22
45,300556,丝路视觉,'300556,2016/11/4
46,2802,洪汇新材,'002802,2016/6/29
47,600550,  保变电气,'600550,  2001-02-28
48,2811,亚泰国际,'002811,2016/9/8
49,610,西安旅游,'000610,1996/9/26
50,603817,  海峡环保,'603817,  2017-02-20
51,603326,  我乐家居,'603326,  2017-06-16
52,600744,  华银电力,'600744,  1996-09-05
53,600169,  太原重工,'600169,  1998-09-04
54,2417,深南股份,'002417,2010/6/1
55,2664,长鹰信质,'002664,2012/3/16
56,2880,卫光生物,'002880,2017/6/16
57,603658,  安图生物,'603658,  2016-09-01
58,300298,三诺生物,'300298,2012/3/19
59,601,韶能股份,'000601,1996/8/30
60,601298,  青岛港,'601298,  2019-01-21
61,300260,新莱应材,'300260,2011/9/6
62,603768,  常青股份,'603768,  2017-03-24
63,2258,利尔化学,'002258,2008/7/8
64,2302,西部建设,'002302,2009/11/3
65,600660,  福耀玻璃,'600660,  1993-06-10
66,922,佳电股份,'000922,1999/6/18
67,2821,凯莱英,'002821,2016/11/18
68,2229,鸿博股份,'002229,2008/5/8
69,601872,  招商轮船,'601872,  2006-12-01
70,2148,北纬科技,'002148,2007/8/10
71,2550,千红制药,'002550,2011/2/18
72,300267,尔康制药,'300267,2011/9/27
73,603969,  银龙股份,'603969,  2015-02-27
74,600580,  卧龙电驱,'600580,  2002-06-06
75,529,广弘控股,'000529,1993/11/18
76,599,青岛双星,'000599,1996/4/30
77,600329,  中新药业,'600329,  2001-06-06
78,338,潍柴动力,'000338,2007/4/30
79,2325,洪涛股份,'002325,2009/12/22
80,603808,  歌力思,'603808,  2015-04-22
81,603678,  火炬电子,'603678,  2015-01-26
82,601288,  农业银行,'601288,  2010-07-15
83,600259,  广晟有色,'600259,  2000-05-25
84,2508,老板电器,'002508,2010/11/23
85,2240,威华股份,'002240,2008/5/23
86,600717,  天津港,'600717,  1996-06-14
87,2949,华阳国际,'002949,2019/2/26
88,2705,新宝股份,'002705,2014/1/21
89,300248,新开普,'300248,2011/7/29
90,603399,  吉翔股份,'603399,  2012-08-24
91,603895,  天永智能,'603895,  2018-01-22
92,300096,易联众,'300096,2010/7/28
93,709,河钢股份,'000709,1997/4/16
94,300198,纳川股份,'300198,2011/4/7
95,600684,  珠江实业,'600684,  1993-10-28
