stock,date,score1,score2,pred_rate,name
'300799,2024-01-17,47.94547,126.4402,1.637,左江科技
'000005,2024-01-17,2.9659824,4.30278,0.451,世纪星源
'603099,2024-01-17,13.264138,18.163153,0.369,长白山
'603628,2024-01-17,11.435791,14.977732,0.31,清源股份
'000017,2024-01-17,11.667651,14.889268,0.276,深中华A
'603603,2024-01-17,1.8701372,2.3677683,0.266,博天环境
'601975,2024-01-17,0.9673441,1.1759979,0.216,招商南油
'300551,2024-01-17,80.0093,95.446304,0.193,古鳌科技
'300742,2024-01-17,9.668798,11.462277,0.185,越博动力
'600593,2024-01-17,25.888973,30.371843,0.173,大连圣亚
'002740,2024-01-17,2.8960001,3.3905222,0.171,爱迪尔
'300135,2024-01-17,40.205235,47.018475,0.169,宝利国际
'300096,2024-01-17,28.244883,32.804173,0.161,易联众
'600520,2024-01-17,44.145214,50.97448,0.155,文一科技
'600178,2024-01-17,21.306925,24.577335,0.153,东安动力
'002882,2024-01-17,14.877383,17.09075,0.149,金龙羽
'002089,2024-01-17,13.350715,15.330504,0.148,*ST新海
'002868,2024-01-17,26.473505,30.391191,0.148,绿康生化
'002395,2024-01-17,41.032524,46.768627,0.14,双象股份
'603038,2024-01-17,31.520918,35.896767,0.139,华立股份
'603985,2024-01-17,107.07147,120.75581,0.128,恒润股份
'002952,2024-01-17,54.055824,60.953518,0.128,亚世光电
'603266,2024-01-17,53.84965,60.58082,0.125,天龙股份
'603178,2024-01-17,41.402306,46.389965,0.12,圣龙股份
'000715,2024-01-17,28.476992,31.798595,0.117,中兴商业
'600306,2024-01-17,15.671096,17.495188,0.116,商业城
'603721,2024-01-17,36.877956,40.959064,0.111,中广天择
'000564,2024-01-17,15.373705,17.060068,0.11,供销大集
'002855,2024-01-17,32.834385,36.383476,0.108,捷荣技术
'600696,2024-01-17,46.951183,52.018284,0.108,ST岩石
'002641,2024-01-17,29.910439,33.048527,0.105,永高股份
'603598,2024-01-17,39.455853,43.496784,0.102,引力传媒
'000710,2024-01-17,27.90339,30.752056,0.102,贝瑞基因
'002819,2024-01-17,33.94772,37.364273,0.101,东方中科
'603613,2024-01-17,121.81283,133.99985,0.1,国联股份
'600630,2024-01-17,21.593693,23.723795,0.099,龙头股份
'300769,2024-01-17,292.57544,321.16888,0.098,德方纳米
'000628,2024-01-17,152.57062,167.42247,0.097,高新发展
'300492,2024-01-17,113.739845,124.7745,0.097,山鼎设计
'002123,2024-01-17,93.2419,102.24838,0.097,梦网集团
'600898,2024-01-17,5.1767483,5.6556787,0.093,国美通讯
'300530,2024-01-17,47.18373,51.52802,0.092,达志科技
'002178,2024-01-17,33.56793,36.559273,0.089,延华智能
'300097,2024-01-17,32.531105,35.381413,0.088,智云股份
'603220,2024-01-17,32.622585,35.46111,0.087,中贝通信
'002708,2024-01-17,23.379015,25.403967,0.087,光洋股份
'300313,2024-01-17,19.43258,21.107512,0.086,天山生物
'603860,2024-01-17,30.867542,33.50673,0.086,中公高科
'603729,2024-01-17,41.66813,45.213863,0.085,龙韵股份
'002577,2024-01-17,39.083393,42.383564,0.084,雷柏科技
'002865,2024-01-17,99.308,107.65139,0.084,钧达股份
'000757,2024-01-17,24.716629,26.772312,0.083,浩物股份
'603286,2024-01-17,25.909569,28.054289,0.083,日盈电子
'002331,2024-01-17,46.10978,49.88787,0.082,皖通科技
'000766,2024-01-17,70.40692,76.17202,0.082,通化金马
'600844,2024-01-17,16.055586,17.360987,0.081,丹化科技
'002779,2024-01-17,31.963842,34.53009,0.08,中坚科技
'300552,2024-01-17,55.007595,59.41404,0.08,万集科技
'000889,2024-01-17,3.976466,4.28679,0.078,中嘉博创
'002748,2024-01-17,21.714844,23.406755,0.078,世龙实业
'002962,2024-01-17,24.562767,26.475489,0.078,五方光电
'300366,2024-01-17,76.22359,82.101326,0.077,创意信息
'600198,2024-01-17,3.3568192,3.615551,0.077,大唐电信
'000518,2024-01-17,25.383757,27.3337,0.077,四环生物
'600960,2024-01-17,13.398257,14.426843,0.077,渤海汽车
'300085,2024-01-17,146.027,157.09503,0.076,银之杰
