stock,date,score1,score1_true,score2,score2_ture,corr1,corr2,pred_rate,true_rate,average_corr,name
'300364,2024-01-10,108.12371,107.92,110.44044,110.46,0.0018840455992492,0.000177109037233,0.0214266602579581,0.0235359525574498,0.044962612815408,中文在线
'600589,2024-01-10,14.141873,14.07,14.362514,14.07,0.0050822829479518,0.0203664901562497,0.0156019644639715,0.0,0.0156019644639715,广东榕泰
'000564,2024-01-10,23.044725,23.16,23.40317,20.17,0.0050022293605152,0.1381509427996292,0.0155543188300142,-0.1291018998272883,0.1135475809972741,供销大集
'300682,2024-01-10,21.61989,21.69,21.92351,22.08,0.003242847211526,0.007137999344083,0.0140435497127875,0.0179806362378975,0.032024185950685,朗新科技
'002584,2024-01-10,24.48171,24.52,24.815245,27.09,0.0015640247352002,0.0916676422094562,0.0136238440860544,0.1048123980424143,0.1184362421284688,西陇科学
'000032,2024-01-10,43.446163,46.34,44.036278,49.99,0.0666074239973736,0.1352003909140549,0.0135826724214979,0.0787656452309019,0.0923483176523999,深桑达Ａ
'600732,2024-01-10,90.87639,90.58,92.08057,92.770004,0.0032614631809208,0.0074872907498292,0.0132507464259968,0.0241775667917862,0.0374283132177831,ST爱旭
'002459,2024-01-10,51.713493,51.23,52.39115,51.23,0.009349455469968,0.0221630943394066,0.0131040655095567,0.0,0.0131040655095567,晶澳科技
'603767,2024-01-10,21.254486,21.17,21.510496,21.789999,0.0039749726246025,0.0129937961449146,0.0120449866442312,0.0292866792631081,0.0413316659073394,中马传动
'600225,2024-01-10,6.2225494,6.23,6.2967644,6.34,0.0011973548976566,0.0068663201056085,0.0119267835784477,0.0176565008025681,0.0295832843810158,天津松江
'300315,2024-01-10,60.31743,59.23,61.029102,61.28,0.0180284537985123,0.0041111206256975,0.0117987785620176,0.0346108391018065,0.0464096176638242,掌趣科技
'600610,2024-01-10,424.29376,416.47,429.06955,419.05002,0.0184394887164967,0.023351761969592,0.0112558572626662,0.0061949720267966,0.0174508292894628,*ST毅达
'603868,2024-01-10,57.178783,57.56,57.81187,57.37,0.0066671058738693,0.0076432400474158,0.0110720614672753,-0.0033009034051425,0.0077711580621327,飞科电器
'002594,2024-01-10,192.8403,192.6,194.93219,199.18,0.0012461088268376,0.0217912187822853,0.0108477844102087,0.0341640706126688,0.0450118550228775,比亚迪
'002527,2024-01-10,27.047,26.83,27.339426,27.72,0.0080230709505676,0.0139203361475109,0.0108117721004177,0.0331718225866567,0.0439835946870745,新时达
'600570,2024-01-10,728.1189,723.85,735.9169,731.75,0.0058629160704385,0.0056621882171751,0.0107097892940287,0.0109138633694825,0.0216236526635113,恒生电子
'600476,2024-01-10,24.566135,24.56,24.827969,25.4,0.0002497340342711,0.0230397822713569,0.0106583310724296,0.0342019543973941,0.0448602854698237,湘邮科技
'600763,2024-01-10,169.47755,169.97,171.25366,170.3,0.0029056945890472,0.0055686985025603,0.0104799131212363,0.0019415190916044,0.0124214322128408,通策医疗
'002747,2024-01-10,101.23321,101.69,102.258644,103.37,0.0045122544271785,0.0108680885696078,0.0101294229433207,0.0165207985052611,0.0266502214485818,埃斯顿
'601555,2024-01-10,8.701888,8.76,8.789692,8.8,0.0066780910073767,0.0011727373382366,0.0100902240984945,0.0045662100456622,0.0146564341441567,东吴证券
'300223,2024-01-10,145.05518,144.7,146.47495,146.47,0.0024485854279731,3.3794174362292e-05,0.0097877924800755,0.012232204561161,0.0220199970412366,北京君正
'603185,2024-01-10,124.3131,123.84,125.52886,126.159996,0.0038057131549289,0.005027815914205,0.0097798220782845,0.0187338178294573,0.0285136399077418,上机数控
'603286,2024-01-10,23.53032,23.39,23.75934,23.6,0.0059633698139251,0.0067064152455413,0.0097329743071918,0.0089781958101753,0.0187111701173671,日盈电子
'300687,2024-01-10,85.41546,85.52,86.217995,86.86,0.0012239002166586,0.0074462993485292,0.0093956644382645,0.0156688493919551,0.0250645138302196,赛意信息
'300188,2024-01-10,183.90874,183.63,185.6304,184.66,0.0015156430303421,0.0052275920323395,0.0093614909220737,0.005609105266024,0.0149705961880977,美亚柏科
'300096,2024-01-10,21.430367,21.380001,21.627792,21.779999,0.002350216400867,0.0070375653695948,0.0092123947294042,0.0187089794804032,0.0279213742098074,易联众
'601628,2024-01-10,32.378338,32.46,32.675392,32.49,0.0025221183372661,0.0056737498359621,0.0091744672008798,0.0009242144177449,0.0100986816186248,中国人寿
'300806,2024-01-10,45.114372,44.91,45.527893,45.09,0.0045300863325772,0.0096181257498561,0.0091660590997475,0.0040080160320642,0.0131740751318118,斯迪克
'603899,2024-01-10,74.326096,74.32,74.99663,74.56,8.201695404550302e-05,0.0058219949349723,0.0090215151351416,0.0032292787944027,0.0122507939295443,晨光文具
'002049,2024-01-10,253.29144,252.55,255.57324,257.38,0.0029272209120054,0.0070694412294495,0.009008595000289,0.0191249257572757,0.0281335207575647,紫光国微
'600839,2024-01-10,87.43967,87.06,88.224464,90.31,0.0043420795160823,0.0236389761461175,0.0089752626010595,0.0373305766138295,0.0463058392148891,四川长虹
'300768,2024-01-10,20.107777,19.95,20.2852,20.63,0.007846566032635,0.0169976140240174,0.0088236009380848,0.0340852130325814,0.0429088139706662,迪普科技
'002517,2024-01-10,61.83554,61.92,62.37972,63.78,0.0013658811744831,0.0224476801114208,0.0088004406527378,0.0300387596899224,0.0388392003426603,恺英网络
'002268,2024-01-10,163.45406,162.17,164.84644,166.95,0.007855785289151,0.0127607244657512,0.0085184791371961,0.0294752420299685,0.0379937211671646,卫 士 通
'002230,2024-01-10,522.6189,522.19,527.0606,537.68,0.0008206744914889,0.0201483472678472,0.0084989272297652,0.0296635324307242,0.0381624596604895,科大讯飞
'002129,2024-01-10,77.899704,77.63,78.551926,80.06,0.0034621954404345,0.0191984344215825,0.008372586370803,0.0313023315728456,0.0396749179436487,中环股份
'002558,2024-01-10,47.079933,47.43,47.473423,48.34,0.0074355883216741,0.0182539396832625,0.0083579133385767,0.0191861690912925,0.0275440824298692,巨人网络
'300678,2024-01-10,71.66613,71.08,72.262535,75.07,0.00817861938408,0.0388509066281717,0.0083219925507349,0.0561339335959481,0.0644559261466831,中科信息
'600641,2024-01-10,288.66986,288.47,291.05313,289.94,0.0006923479991988,0.0038244907381687,0.0082560403084685,0.0050958505217179,0.0133518908301865,万业企业
'300014,2024-01-10,678.9067,678.46,684.3717,711.58,0.0006579696444297,0.0397566117944386,0.0080497069774094,0.0488164372254812,0.0568661442028907,亿纬锂能
'300068,2024-01-10,32.292183,32.34,32.550804,33.64,0.0014807608392409,0.0334614161911331,0.0080087803292827,0.0401978973407543,0.0482066776700371,南都电源
'002065,2024-01-10,181.11261,180.9,182.55751,184.83,0.0011739105300287,0.0124480773209494,0.0079779094343569,0.0217247097844113,0.0297026192187683,东华软件
'000049,2024-01-10,169.307,169.38,170.64345,174.77,0.0004311694141412,0.0241822935483313,0.0078936488154654,0.031821938835754,0.0397155876512194,德赛电池
'300024,2024-01-10,259.72473,259.87,261.77182,266.9,0.0005593229416389,0.0195902675849523,0.0078817677469525,0.0270519875322275,0.0349337552791801,机器人
'603486,2024-01-10,58.093998,57.91,58.542557,59.0,0.0031672462962525,0.0078138541164165,0.0077212623582904,0.0188223104817821,0.0265435728400726,科沃斯
'300041,2024-01-10,71.50002,71.45,72.05075,72.98,0.0006995802238936,0.01289715929397,0.0077025153279675,0.0214135759272218,0.0291160912551894,回天新材
'600048,2024-01-10,222.52443,221.68,224.23071,222.0,0.0037947743535394,0.0099482805009179,0.0076678322465537,0.0014435221941537,0.0091113544407074,保利地产
'000821,2024-01-10,26.388624,26.08,26.590532,26.82,0.0116953426597764,0.0086296881912705,0.0076513273295341,0.0283742331288344,0.0360255604583685,京山轻机
'002009,2024-01-10,50.55785,50.26,50.942963,52.1,0.005891271088466,0.0227124009257177,0.0076172740731656,0.0366096299243932,0.0442269039975588,天奇股份
'002153,2024-01-10,384.0054,387.58,386.913,391.38,0.0093087232627457,0.0115452310984639,0.0075717685220051,0.0098044274730378,0.017376195995043,石基信息
'002410,2024-01-10,266.8592,267.37,268.86078,268.77,0.0019141180067991,0.0003376468669026,0.0075005096320456,0.0052361895500616,0.0127366991821072,广联达
'300735,2024-01-10,38.219494,38.35,38.504784,38.69,0.0034146448929963,0.004810207479673,0.0074645153596225,0.0088657105606257,0.0163302259202483,光弘科技
'603636,2024-01-10,57.599636,57.05,58.026405,59.6,0.0095423519690297,0.0271186022983847,0.0074092308500005,0.0446976336546889,0.0521068645046894,南威软件
'603266,2024-01-10,48.46125,48.25,48.811058,49.760002,0.0043591529314658,0.0194411684335954,0.0072183032835513,0.0312953782383419,0.0385136815218933,天龙股份
'002555,2024-01-10,228.2685,227.18001,229.9065,232.47,0.0047684634542215,0.0111501849664972,0.0071757601245901,0.0232854554412599,0.03046121556585,三七互娱
'300438,2024-01-10,126.42554,125.39,127.331894,132.05,0.0081909082610997,0.0370536073232367,0.0071690735906685,0.0531142834356807,0.0602833570263492,鹏辉能源
'000627,2024-01-10,65.19382,64.85,65.660965,65.9,0.0052738127632344,0.0036404429937939,0.0071654797954775,0.0161912104857364,0.023356690281214,天茂集团
'300347,2024-01-10,621.55914,663.34,625.98413,636.22,0.0672194443154678,0.0163516445696474,0.0071191777503265,-0.0408840112159676,0.0337648334656411,泰格医药
'000069,2024-01-10,151.88828,151.97,152.93475,152.58,0.0005380270288134,0.0023196166992785,0.0068897350078623,0.0040139501217346,0.0109036851295969,华侨城Ａ
'300253,2024-01-10,227.43669,226.59,228.9917,227.97,0.0037227502739333,0.0044617337658963,0.0068371114616555,0.0060902952469217,0.0129274067085773,卫宁健康
'603015,2024-01-10,21.511845,21.34,21.65786,21.7,0.0079883896523055,0.0019457139348024,0.0067876558240354,0.0168697282099343,0.0236573840339698,弘讯科技
'000837,2024-01-10,30.99314,31.23,31.200972,31.64,0.0076423363363634,0.0140709718915167,0.006705741980322,0.0131284021773935,0.0198341441577156,秦川机床
'300073,2024-01-10,153.1556,153.69,154.1703,160.21,0.0034892619009687,0.0391755091609733,0.0066252882689239,0.0424230594052964,0.0490483476742203,当升科技
'600478,2024-01-10,34.3071,34.22,34.528934,35.24,0.0025388330695395,0.0205933377497261,0.0064661250878098,0.0298071303331386,0.0362732554209484,科力远
'300458,2024-01-10,78.680565,78.39,79.18832,79.88,0.0036929704304995,0.0087346214694287,0.0064533725704689,0.0190075264702129,0.0254608990406819,全志科技
'300680,2024-01-10,45.293312,45.72,45.585575,45.94,0.0094205519790647,0.0077749375761959,0.006452674514065,0.0048118985126858,0.0112645730267509,隆盛科技
'000938,2024-01-10,78.92295,78.69,79.431,81.06,0.0029516129338804,0.0205083657514069,0.006437291054123,0.0301181852840259,0.0365554763381489,紫光股份
'600816,2024-01-10,116.40982,116.75,117.15564,119.03,0.0029222620565859,0.0159988883164309,0.0064068478071696,0.0195289079229122,0.0259357557300818,安信信托
'002846,2024-01-10,26.591549,26.59,26.758663,27.25,5.825158963100227e-05,0.0183617918428884,0.0062844778241387,0.0248213614140654,0.0311058392382041,英联股份
'603960,2024-01-10,43.693382,43.56,43.967834,44.079998,0.0030526819828228,0.0025510467493122,0.0062813173857771,0.0119375114784205,0.0182188288641977,克来机电
'300258,2024-01-10,51.642845,51.82,51.96308,52.88,0.0034303880818339,0.017645605302842,0.0062009558148858,0.0204554226167503,0.0266563784316361,精锻科技
'601012,2024-01-10,439.74048,434.31,442.46432,437.78,0.0123492838321366,0.0105868875483564,0.0061941989056818,0.0079896847873637,0.0141838836930456,隆基股份
'600438,2024-01-10,239.39067,239.26,240.79315,242.37999,0.0005458441634338,0.006590054575888,0.0058585407693624,0.0130401655103235,0.0188987062796859,通威股份
'002434,2024-01-10,47.950806,48.13,48.231655,48.91,0.0037370383304923,0.0140643110836647,0.0058570235503445,0.0162061084562641,0.0220631320066087,万里扬
'300353,2024-01-10,57.741737,57.920002,58.07902,58.81,0.0030872815620353,0.0125859561679932,0.0058412340453145,0.0153659870384673,0.0212072210837819,东土科技
'300393,2024-01-10,60.682644,60.31,61.0362,61.11,0.0061408662417544,0.0012091185231059,0.0058263117210251,0.0132647985408721,0.0190911102618972,中来股份
'601111,2024-01-10,7.980106,7.99,8.026375,8.06,0.0012398331550984,0.0041893133575244,0.0057980432841367,0.0087609511889862,0.014558994473123,中国国航
