,Unnamed: 0,date,stock,score1,score2,pred_rate,name
0,2145,2308,2024-01-16,23.094393,23.128471,0.001,威创股份
1,2546,2740,2024-01-16,3.978688,3.98404,0.001,爱迪尔
2,702,600898,2024-01-16,6.318108,6.3261657,0.001,国美通讯
3,647,600831,2024-01-16,38.56238,38.6035,0.001,广电网络
4,2168,2331,2024-01-16,51.849007,51.903763,0.001,皖通科技
5,149,600198,2024-01-16,3.9233117,3.9272847,0.001,大唐电信
6,1425,5,2024-01-16,6.1072073,6.1133795,0.001,世纪星源
7,2494,2682,2024-01-16,16.772047,16.788628,0.001,龙洲股份
8,964,603023,2024-01-16,40.209354,40.248898,0.001,威帝股份
9,2972,300242,2024-01-16,22.73836,22.760292,0.001,佳云科技
10,57,600081,2024-01-16,88.89184,88.97684,0.001,东风科技
11,1153,603389,2024-01-16,8.957601,8.966044,0.001,亚振家居
12,1777,903,2024-01-16,26.713758,26.738516,0.001,云内动力
13,1846,998,2024-01-16,157.50862,157.65048,0.001,隆平高科
14,2638,2849,2024-01-16,42.68855,42.725433,0.001,威星智能
15,106,600148,2024-01-16,38.870872,38.904278,0.001,长春一东
16,718,600960,2024-01-16,15.430735,15.44386,0.001,渤海汽车
17,2426,2609,2024-01-16,63.59604,63.648422,0.001,捷顺科技
18,638,600822,2024-01-16,23.634518,23.653698,0.001,上海物贸
19,3085,300366,2024-01-16,86.10178,86.170586,0.001,创意信息
20,1093,603286,2024-01-16,29.790342,29.814104,0.001,日盈电子
21,2475,2660,2024-01-16,29.155836,29.178385,0.001,茂硕电源
22,2258,2425,2024-01-16,22.45123,22.468348,0.001,凯撒文化
23,2971,300241,2024-01-16,23.173914,23.191578,0.001,瑞丰光电
24,2,600006,2024-01-16,16.081251,16.09299,0.001,东风汽车
25,3209,300495,2024-01-16,14.813893,14.824571,0.001,美尚生态
26,1570,570,2024-01-16,23.147299,23.163715,0.001,苏常柴Ａ
27,274,600360,2024-01-16,47.6264,47.65991,0.001,华微电子
28,603,600780,2024-01-16,101.09874,101.16724,0.001,通宝能源
29,655,600841,2024-01-16,15.120203,15.130396,0.001,上柴股份
30,1595,609,2024-01-16,40.373203,40.400417,0.001,中迪投资
31,3261,300551,2024-01-16,101.3145,101.381714,0.001,古鳌科技
32,922,601929,2024-01-16,4.765714,4.7688503,0.001,吉视传媒
33,2308,2482,2024-01-16,21.182018,21.19591,0.001,广田集团
34,1152,603388,2024-01-16,29.685867,29.704933,0.001,元成股份
35,1034,603138,2024-01-16,57.225384,57.262016,0.001,海量数据
36,2996,300267,2024-01-16,36.635918,36.65935,0.001,尔康制药
37,2469,2654,2024-01-16,80.27534,80.32663,0.001,万润科技
38,1528,518,2024-01-16,28.233732,28.251587,0.001,四环生物
39,1578,586,2024-01-16,41.769028,41.79544,0.001,汇源通信
40,2637,2848,2024-01-16,12.689555,12.697326,0.001,高斯贝尔
41,1673,729,2024-01-16,69.032364,69.07456,0.001,燕京啤酒
42,3176,300461,2024-01-16,44.13624,44.163185,0.001,田中精机
43,115,600158,2024-01-16,45.453014,45.480694,0.001,中体产业
44,1962,2119,2024-01-16,50.697605,50.727814,0.001,康强电子
45,1698,779,2024-01-16,29.756466,29.774143,0.001,甘咨询
46,2074,2235,2024-01-16,37.258976,37.280926,0.001,安妮股份
47,2240,2405,2024-01-16,38.613384,38.636005,0.001,四维图新
48,1659,713,2024-01-16,41.97876,42.003128,0.001,丰乐种业
49,262,600345,2024-01-16,28.118654,28.13486,0.001,长江通信
50,3015,300287,2024-01-16,53.49654,53.527317,0.001,飞利信
51,186,600246,2024-01-16,60.264275,60.29868,0.001,万通地产
52,1738,836,2024-01-16,23.438427,23.451683,0.001,富通鑫茂
53,2690,2906,2024-01-16,35.69928,35.719406,0.001,华阳集团
54,2459,2644,2024-01-16,57.879467,57.911995,0.001,佛慈制药
55,1948,2103,2024-01-16,17.9478,17.957884,0.001,广博股份
56,2167,2330,2024-01-16,12.118562,12.125337,0.001,得利斯
57,349,600476,2024-01-16,29.686773,29.703266,0.001,湘邮科技
58,390,600523,2024-01-16,23.730429,23.743494,0.001,贵航股份
59,528,600692,2024-01-16,45.495,45.520004,0.001,亚通股份
60,2220,2385,2024-01-16,68.07536,68.11277,0.001,大北农
61,456,600602,2024-01-16,6146.8643,6150.219,0.001,云赛智联
62,155,600206,2024-01-16,39.503876,39.525368,0.001,有研新材
63,3432,300730,2024-01-16,37.357418,37.377617,0.001,科创信息
64,2775,300027,2024-01-16,44.79289,44.816856,0.001,华谊兄弟
65,2784,300039,2024-01-16,81.23151,81.27467,0.001,上海凯宝
66,1211,603598,2024-01-16,44.566414,44.58969,0.001,引力传媒
67,688,600880,2024-01-16,126.26359,126.329475,0.001,博瑞传播
